name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Red State,R,Action,2011,"September 30, 2011 (United Kingdom)",6.2,63000,Kevin Smith,Kevin Smith,Michael Parks,United States,4000000,1874460,NVSH Productions,88
Trespass,R,Crime,2011,"October 21, 2011 (Bulgaria)",5.3,42000,Joel Schumacher,Karl Gajdusek,Nicolas Cage,United States,35000000,10117966,Millennium Films,91
Machine Gun Preacher,R,Action,2011,"November 2, 2011 (United Kingdom)",6.8,64000,Marc Forster,Jason Keller,Gerard Butler,United States,30000000,3338690,Relativity Media,129
From Up on Poppy Hill,PG,Animation,2011,"July 16, 2011 (Japan)",7.4,38000,GorÃ´ Miyazaki,TetsurÃ´ Sayama,Sarah Bolger,Japan,22000000,61487846,Studio Ghibli,91
30 Minutes or Less,R,Action,2011,"August 12, 2011 (United States)",6.1,96000,Ruben Fleischer,Michael Diliberti,Jesse Eisenberg,United States,28000000,40662632,Columbia Pictures,83
The Iron Lady,PG-13,Biography,2011,"January 13, 2012 (United States)",6.4,105000,Phyllida Lloyd,Abi Morgan,Meryl Streep,United Kingdom,13000000,115890699,DJ Films,105
Your Sister's Sister,R,Comedy,2011,"June 29, 2012 (United Kingdom)",6.7,27000,Lynn Shelton,Lynn Shelton,Mark Duplass,United States,125000,3242802,Ada Films,90
Mr. Popper's Penguins,PG,Comedy,2011,"June 17, 2011 (United States)",6,91000,Mark Waters,Sean Anders,Jim Carrey,United States,55000000,187361754,Twentieth Century Fox,94
Texas Killing Fields,R,Crime,2011,"October 14, 2011 (United Kingdom)",5.7,19000,Ami Canaan Mann,Don Ferrarone,Sam Worthington,United States,0,1271319,Anchor Bay Films,105
Take This Waltz,R,Comedy,2011,"July 6, 2012 (Canada)",6.6,28000,Sarah Polley,Sarah Polley,Michelle Williams,Canada,0,4965950,Joe's Daughter,116
A Good Old Fashioned Orgy,R,Comedy,2011,"October 27, 2011 (Russia)",6.1,22000,Alex Gregory,Alex Gregory,Jason Sudeikis,United States,0,1378947,Endgame Entertainment,95
Special Forces,R,Action,2011,"November 2, 2011 (France)",6.4,18000,StÃ©phane Rybojad,StÃ©phane Rybojad,Diane Kruger,France,0,3424648,Easy Company,109
Courageous,PG-13,Drama,2011,"September 30, 2011 (United States)",7,20000,Alex Kendrick,Alex Kendrick,Alex Kendrick,United States,2000000,35185884,TriStar Pictures,129
Jin ling shi san chai,R,Drama,2011,"December 16, 2011 (China)",7.6,51000,Yimou Zhang,Heng Liu,Christian Bale,China,94000000,2855644,Beijing New Picture Film,146
Apollo 18,PG-13,Horror,2011,"September 2, 2011 (United States)",5.2,54000,Gonzalo LÃ³pez-Gallego,Brian Miller,Warren Christie,United States,5000000,26236153,Dimension Films,86
Anonymous,PG-13,Drama,2011,"October 28, 2011 (United Kingdom)",6.9,40000,Roland Emmerich,John Orloff,Rhys Ifans,United Kingdom,30000000,15395087,Columbia Pictures,130
Hop,PG,Animation,2011,"April 1, 2011 (United States)",5.4,32000,Tim Hill,Cinco Paul,Russell Brand,United States,63000000,183954145,Universal Pictures,95
Atlas Shrugged: Part I,PG-13,Drama,2011,"April 15, 2011 (United States)",5.6,13000,Paul Johansson,Brian Patrick O'Toole,Taylor Schilling,United States,20000000,4627375,Atlas Productions,97
Coriolanus,R,Drama,2011,"January 20, 2012 (United Kingdom)",6.1,31000,Ralph Fiennes,John Logan,Ralph Fiennes,United Kingdom,0,2435325,Hermetof Pictures,123
Elles,NC-17,Drama,2011,"February 1, 2012 (France)",5.6,6700,Malgorzata Szumowska,Tine Byrckel,Juliette Binoche,France,0,3822241,Slot Machine,99
Angels Crest,R,Drama,2011,"December 30, 2011 (United States)",5.8,1900,Gaby Dellal,Leslie Schwartz,Thomas Dekker,Canada,0,2037,Process Film,92
Happy Feet Two,PG,Animation,2011,"November 18, 2011 (United States)",5.9,43000,George Miller,George Miller,Elijah Wood,Australia,135000000,159197038,Warner Bros.,100
Hysteria,R,Biography,2011,"December 14, 2011 (France)",6.7,31000,Tanya Wexler,Stephen Dyer,Maggie Gyllenhaal,United Kingdom,0,NA,Informant Media,100
The Beaver,PG-13,Drama,2011,"May 19, 2011 (Germany)",6.6,48000,Jodie Foster,Kyle Killen,Mel Gibson,United States,21000000,7294800,Summit Entertainment,91
The Prey,R,Action,2011,"June 7, 2013 (United States)",6.7,5200,Eric Valette,Laurent Turner,Albert Dupontel,France,0,3102666,Brio Films,105
Wuthering Heights,Not Rated,Drama,2011,"November 11, 2011 (United Kingdom)",6,9700,Andrea Arnold,Andrea Arnold,Kaya Scodelario,United Kingdom,0,1742215,Film4,129
Win Win,R,Comedy,2011,"April 15, 2011 (United States)",7.1,53000,Tom McCarthy,Tom McCarthy,Paul Giamatti,United States,0,11789613,Fox Searchlight Pictures,106
Rockstar,Not Rated,Drama,2011,"November 11, 2011 (United States)",7.7,41000,Imtiaz Ali,Imtiaz Ali,Ranbir Kapoor,India,10920000,11219667,Eros Worldwide,159
"Big Mommas: Like Father, Like Son",PG-13,Action,2011,"February 18, 2011 (United States)",4.4,26000,John Whitesell,Matthew Fogel,Martin Lawrence,United States,32000000,82686066,New Regency Productions,107
Tyrannosaur,Not Rated,Drama,2011,"October 7, 2011 (Ireland)",7.6,31000,Paddy Considine,Paddy Considine,Peter Mullan,United Kingdom,0,676111,Warp X,92
Once Upon a Time in Anatolia,Not Rated,Crime,2011,"September 23, 2011 (Turkey)",7.9,44000,Nuri Bilge Ceylan,Ercan Kesal,Muhammet Uzuner,Turkey,0,2099472,NBC Film,157
The Dilemma,PG-13,Comedy,2011,"January 14, 2011 (United States)",5.3,53000,Ron Howard,Allan Loeb,Vince Vaughn,United States,70000000,69721966,Universal Pictures,111
Dolphin Tale,PG,Drama,2011,"September 23, 2011 (United States)",6.8,23000,Charles Martin Smith,Karen Janszen,Morgan Freeman,Canada,37000000,95943453,Alcon Entertainment,113
The Avengers,PG-13,Action,2012,"May 4, 2012 (United States)",8,1300000,Joss Whedon,Joss Whedon,Robert Downey Jr.,United States,220000000,1518815515,Marvel Studios,143
Django Unchained,R,Drama,2012,"December 25, 2012 (United States)",8.4,1400000,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,United States,100000000,426074373,The Weinstein Company,165
The Hobbit: An Unexpected Journey,PG-13,Adventure,2012,"December 14, 2012 (United States)",7.8,773000,Peter Jackson,Fran Walsh,Martin Freeman,New Zealand,180000000,1017003568,Metro-Goldwyn-Mayer (MGM),169
The Hunger Games,PG-13,Action,2012,"March 23, 2012 (United States)",7.2,862000,Gary Ross,Gary Ross,Jennifer Lawrence,United States,78000000,694394724,Lionsgate,142
The Dark Knight Rises,PG-13,Action,2012,"July 20, 2012 (United States)",8.4,1600000,Christopher Nolan,Jonathan Nolan,Christian Bale,United Kingdom,250000000,1081142612,Warner Bros.,164
Pitch Perfect,PG-13,Comedy,2012,"October 5, 2012 (United States)",7.1,285000,Jason Moore,Kay Cannon,Anna Kendrick,United States,17000000,115350426,Brownstone Productions (II),112
This Is 40,R,Comedy,2012,"December 21, 2012 (United States)",6.2,132000,Judd Apatow,Judd Apatow,Paul Rudd,United States,35000000,88215156,Apatow Productions,134
The Hunt,R,Drama,2012,"January 10, 2013 (Denmark)",8.3,297000,Thomas Vinterberg,Tobias Lindholm,Mads Mikkelsen,Denmark,3800000,15843274,Danmarks Radio (DR),115
Prometheus,R,Adventure,2012,"June 8, 2012 (United States)",7,578000,Ridley Scott,Jon Spaihts,Noomi Rapace,United States,130000000,403354469,Twentieth Century Fox,124
Moonrise Kingdom,PG-13,Comedy,2012,"June 29, 2012 (United States)",7.8,327000,Wes Anderson,Wes Anderson,Jared Gilman,United States,16000000,68264022,Indian Paintbrush,94
The Impossible,PG-13,Drama,2012,"January 4, 2013 (United States)",7.6,208000,J.A. Bayona,Sergio G. SÃ¡nchez,Naomi Watts,Spain,45000000,198087212,Mediaset EspaÃ±a,114
Argo,R,Biography,2012,"October 12, 2012 (United States)",7.7,585000,Ben Affleck,Chris Terrio,Ben Affleck,United States,44500000,232325503,Warner Bros.,120
The Twilight Saga: Breaking Dawn - Part 2,PG-13,Adventure,2012,"November 16, 2012 (United States)",5.5,236000,Bill Condon,Melissa Rosenberg,Kristen Stewart,United States,120000000,829747654,Summit Entertainment,115
Jack Reacher,PG-13,Action,2012,"December 21, 2012 (United States)",7,317000,Christopher McQuarrie,Lee Child,Tom Cruise,United States,60000000,218340595,Paramount Pictures,130
Zero Dark Thirty,R,Drama,2012,"January 11, 2013 (United States)",7.4,280000,Kathryn Bigelow,Mark Boal,Jessica Chastain,United States,40000000,132820716,Columbia Pictures,157
Cloud Atlas,R,Action,2012,"October 26, 2012 (United States)",7.4,349000,Tom Tykwer,David Mitchell,Tom Hanks,United States,102000000,130482868,Cloud Atlas Productions,172
Skyfall,PG-13,Action,2012,"November 9, 2012 (United States)",7.7,642000,Sam Mendes,Neal Purvis,Daniel Craig,United Kingdom,200000000,1108569499,Metro-Goldwyn-Mayer (MGM),143
The Perks of Being a Wallflower,PG-13,Drama,2012,"October 12, 2012 (United States)",7.9,475000,Stephen Chbosky,Stephen Chbosky,Logan Lerman,United States,13000000,33384127,Summit Entertainment,103
The Amazing Spider-Man,PG-13,Action,2012,"July 3, 2012 (United States)",6.9,571000,Marc Webb,James Vanderbilt,Andrew Garfield,United States,230000000,757930663,Columbia Pictures,136
Les MisÃ©rables,PG-13,Drama,2012,"December 25, 2012 (United States)",7.6,315000,Tom Hooper,William Nicholson,Hugh Jackman,United Kingdom,61000000,441809770,Universal Pictures,158
Silver Linings Playbook,R,Comedy,2012,"December 25, 2012 (United States)",7.7,675000,David O. Russell,David O. Russell,Bradley Cooper,United States,21000000,236412453,The Weinstein Company,122
Snow White and the Huntsman,PG-13,Action,2012,"June 1, 2012 (United States)",6.1,278000,Rupert Sanders,Evan Daugherty,Kristen Stewart,United States,170000000,396592829,Roth Films,127
The Master,R,Drama,2012,"September 21, 2012 (United States)",7.2,160000,Paul Thomas Anderson,Paul Thomas Anderson,Philip Seymour Hoffman,United States,32000000,28258060,The Weinstein Company,138
Looper,R,Action,2012,"September 28, 2012 (United States)",7.4,545000,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,United States,30000000,176506819,TriStar Pictures,113
Killing Them Softly,R,Crime,2012,"November 30, 2012 (United States)",6.2,137000,Andrew Dominik,Andrew Dominik,Brad Pitt,United States,15000000,37930465,Plan B Entertainment,97
Flight,R,Drama,2012,"November 2, 2012 (United States)",7.3,334000,Robert Zemeckis,John Gatins,Denzel Washington,United States,31000000,161772375,Paramount Pictures,138
21 Jump Street,R,Action,2012,"March 16, 2012 (United States)",7.2,521000,Phil Lord,Michael Bacall,Jonah Hill,United States,42000000,201585328,Columbia Pictures,109
Ted,R,Comedy,2012,"June 29, 2012 (United States)",6.9,580000,Seth MacFarlane,Seth MacFarlane,Mark Wahlberg,United States,50000000,549368315,Universal Pictures,106
Sinister,R,Horror,2012,"October 12, 2012 (United States)",6.8,229000,Scott Derrickson,Scott Derrickson,Ethan Hawke,United States,3000000,82515113,Summit Entertainment,110
This Means War,PG-13,Action,2012,"February 17, 2012 (United States)",6.3,179000,McG,Timothy Dowling,Reese Witherspoon,United States,65000000,156491279,Overbrook Entertainment,103
That's My Boy,R,Comedy,2012,"June 15, 2012 (United States)",5.5,94000,Sean Anders,David Caspe,Adam Sandler,United States,70000000,57719093,Columbia Pictures,116
Lincoln,PG-13,Biography,2012,"November 16, 2012 (United States)",7.3,250000,Steven Spielberg,Tony Kushner,Daniel Day-Lewis,United States,65000000,275293450,Dreamworks Pictures,150
Brave,PG,Animation,2012,"June 22, 2012 (United States)",7.1,383000,Mark Andrews,Brenda Chapman,Kelly Macdonald,United States,185000000,538983207,Walt Disney Pictures,93
The Place Beyond the Pines,R,Crime,2012,"April 19, 2013 (United States)",7.3,253000,Derek Cianfrance,Derek Cianfrance,Ryan Gosling,United States,15000000,47052899,Sidney Kimmel Entertainment,140
Dredd,R,Action,2012,"September 21, 2012 (United States)",7.1,260000,Pete Travis,John Wagner,Karl Urban,United Kingdom,50000000,41037742,DNA Films,95
Dark Shadows,PG-13,Comedy,2012,"May 11, 2012 (United States)",6.2,252000,Tim Burton,Seth Grahame-Smith,Johnny Depp,United States,150000000,245527149,Warner Bros.,113
John Carter,PG-13,Action,2012,"March 9, 2012 (United States)",6.6,260000,Andrew Stanton,Andrew Stanton,Taylor Kitsch,United States,250000000,284139100,Walt Disney Pictures,132
Battleship,PG-13,Action,2012,"May 18, 2012 (United States)",5.8,240000,Peter Berg,Jon Hoeber,Alexander SkarsgÃ¥rd,United States,209000000,303025485,Universal Pictures,131
Magic Mike,R,Comedy,2012,"June 29, 2012 (United States)",6.1,134000,Steven Soderbergh,Reid Carolin,Channing Tatum,United States,7000000,167739961,Iron Horse Entertainment (II),110
Hotel Transylvania,PG,Animation,2012,"September 28, 2012 (United States)",7.1,232000,Genndy Tartakovsky,Peter Baynham,Adam Sandler,United States,85000000,358375603,Columbia Pictures,91
Lawless,R,Crime,2012,"August 29, 2012 (United States)",7.3,232000,John Hillcoat,Nick Cave,Tom Hardy,United States,26000000,55404207,The Weinstein Company,116
Spring Breakers,R,Crime,2012,"March 22, 2013 (United States)",5.3,138000,Harmony Korine,Harmony Korine,Vanessa Hudgens,United States,5000000,32170399,Muse Productions,94
Underworld: Awakening,R,Action,2012,"January 20, 2012 (United States)",6.3,148000,MÃ¥ns MÃ¥rlind,Len Wiseman,Kate Beckinsale,United States,70000000,160112671,Screen Gems,88
Piranha 3DD,R,Comedy,2012,"July 14, 2012 (Japan)",3.7,41000,John Gulager,Patrick Melton,Danielle Panabaker,United States,5000000,8518634,Dimension Films,83
Safe House,R,Action,2012,"February 10, 2012 (United States)",6.7,211000,Daniel Espinosa,David Guggenheim,Denzel Washington,South Africa,85000000,208076205,Universal Pictures,115
Seeking a Friend for the End of the World,R,Adventure,2012,"June 22, 2012 (United States)",6.7,109000,Lorene Scafaria,Lorene Scafaria,Steve Carell,United States,10000000,11681781,Focus Features,101
Lore,Not Rated,Drama,2012,"September 20, 2012 (Australia)",7.1,15000,Cate Shortland,Cate Shortland,Saskia Rosendahl,Australia,0,2362019,Rohfilm,109
The Bourne Legacy,PG-13,Action,2012,"August 10, 2012 (United States)",6.6,290000,Tony Gilroy,Tony Gilroy,Jeremy Renner,United States,125000000,276144750,Universal Pictures,135
Abraham Lincoln: Vampire Hunter,R,Action,2012,"June 22, 2012 (United States)",5.9,151000,Timur Bekmambetov,Seth Grahame-Smith,Benjamin Walker,United States,69000000,116471580,Abraham Productions,105
Wreck-It Ralph,PG,Animation,2012,"November 2, 2012 (United States)",7.7,390000,Rich Moore,Rich Moore,John C. Reilly,United States,165000000,471222889,Walt Disney Animation Studios,101
Total Recall,PG-13,Action,2012,"August 3, 2012 (United States)",6.2,244000,Len Wiseman,Kurt Wimmer,Colin Farrell,United States,125000000,198467168,Total Recall,118
Project X,R,Comedy,2012,"March 2, 2012 (United States)",6.6,193000,Nima Nourizadeh,Matt Drake,Thomas Mann,United States,12000000,102731865,Green Hat Films,88
American Reunion,R,Comedy,2012,"April 6, 2012 (United States)",6.7,206000,Jon Hurwitz,Jon Hurwitz,Jason Biggs,United States,50000000,234989584,Universal Pictures,113
Wanderlust,R,Comedy,2012,"February 24, 2012 (United States)",5.6,74000,David Wain,David Wain,Jennifer Aniston,United States,0,23812816,A Hot Dog,98
Savages,R,Crime,2012,"July 6, 2012 (United States)",6.5,126000,Oliver Stone,Shane Salerno,Aaron Taylor-Johnson,United States,45000000,82966152,Ixtlan,131
Life of Pi,PG,Adventure,2012,"November 21, 2012 (United States)",7.9,594000,Ang Lee,Yann Martel,Suraj Sharma,United States,120000000,609016565,Fox 2000 Pictures,127
Anna Karenina,R,Drama,2012,"September 7, 2012 (United Kingdom)",6.6,95000,Joe Wright,Tom Stoppard,Keira Knightley,United Kingdom,40600000,68929150,Universal Pictures,129
Resident Evil: Retribution,R,Action,2012,"September 14, 2012 (United States)",5.4,136000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,Germany,65000000,240159255,Constantin Film International,95
Men in Black 3,PG-13,Action,2012,"May 25, 2012 (United States)",6.8,342000,Barry Sonnenfeld,Etan Cohen,Will Smith,United States,225000000,624026776,Columbia Pictures,106
Journey 2: The Mysterious Island,PG,Action,2012,"February 10, 2012 (United States)",5.8,96000,Brad Peyton,Brian Gunn,Josh Hutcherson,United States,79000000,335260290,New Line Cinema,94
Seven Psychopaths,R,Comedy,2012,"October 12, 2012 (United States)",7.2,246000,Martin McDonagh,Martin McDonagh,Colin Farrell,United Kingdom,15000000,32226382,CBS Films,110
Rock of Ages,PG-13,Comedy,2012,"June 15, 2012 (United States)",5.9,75000,Adam Shankman,Justin Theroux,Julianne Hough,United States,75000000,59418613,New Line Cinema,123
The Dictator,R,Comedy,2012,"May 16, 2012 (United States)",6.4,286000,Larry Charles,Sacha Baron Cohen,Sacha Baron Cohen,United States,65000000,179379533,Paramount Pictures,83
The Watch,R,Comedy,2012,"July 27, 2012 (United States)",5.7,123000,Akiva Schaffer,Jared Stern,Ben Stiller,United States,68000000,68267862,Twentieth Century Fox,102
The Expendables 2,R,Action,2012,"August 17, 2012 (United States)",6.6,296000,Simon West,Richard Wenk,Sylvester Stallone,United States,100000000,314975955,Lionsgate,103
Safety Not Guaranteed,R,Comedy,2012,"June 15, 2012 (Canada)",7,122000,Colin Trevorrow,Derek Connolly,Aubrey Plaza,United States,750000,4424699,FilmDistrict,86
Chronicle,PG-13,Adventure,2012,"February 3, 2012 (United States)",7,243000,Josh Trank,Max Landis,Dane DeHaan,United States,12000000,126636097,Twentieth Century Fox,84
Red Dawn,PG-13,Action,2012,"November 21, 2012 (United States)",5.4,74000,Dan Bradley,Carl Ellsworth,Chris Hemsworth,United States,65000000,50950296,FilmDistrict,93
End of Watch,R,Action,2012,"September 21, 2012 (United States)",7.6,233000,David Ayer,David Ayer,Jake Gyllenhaal,United States,7000000,55078146,Exclusive Media Group,109
Wrath of the Titans,PG-13,Action,2012,"March 30, 2012 (United States)",5.7,184000,Jonathan Liebesman,Dan Mazeau,Sam Worthington,United States,150000000,301970083,Warner Bros.,99
Mud,PG-13,Drama,2012,"May 10, 2013 (United States)",7.4,172000,Jeff Nichols,Jeff Nichols,Matthew McConaughey,United States,10000000,32613173,Lionsgate,130
The Lorax,PG,Animation,2012,"March 2, 2012 (United States)",6.4,102000,Chris Renaud,Dr. Seuss,Zac Efron,United States,70000000,348840316,Universal Pictures,86
Man on a Ledge,PG-13,Action,2012,"January 27, 2012 (United States)",6.6,147000,Asger Leth,Pablo F. Fenjves,Sam Worthington,United States,42000000,47636031,Summit Entertainment,102
Diary of a Wimpy Kid: Dog Days,PG,Animation,2012,"August 3, 2012 (United States)",6.3,23000,David Bowers,Maya Forbes,Zachary Gordon,United States,22000000,77229695,Fox 2000 Pictures,94
The Lucky One,PG-13,Drama,2012,"April 20, 2012 (United States)",6.5,103000,Scott Hicks,Will Fetters,Zac Efron,United States,25000000,99357138,Warner Bros.,101
Rise of the Guardians,PG,Animation,2012,"November 21, 2012 (United States)",7.3,161000,Peter Ramsey,David Lindsay-Abaire,Hugh Jackman,United States,145000000,306941670,DreamWorks Animation,97
The Iceman,R,Biography,2012,"May 2, 2013 (Lebanon)",6.8,72000,Ariel Vromen,Morgan Land,Michael Shannon,United States,10000000,4552970,Bleiberg Entertainment,106
Maniac,Not Rated,Horror,2012,"January 2, 2013 (France)",6.1,36000,Franck Khalfoun,Alexandre Aja,Elijah Wood,France,6000000,2631275,La Petite Reine,89
Byzantium,R,Drama,2012,"May 31, 2013 (United Kingdom)",6.5,42000,Neil Jordan,Moira Buffini,Saoirse Ronan,United Kingdom,0,828284,Demarest Films,118
Frances Ha,R,Comedy,2012,"August 23, 2013 (Brazil)",7.5,78000,Noah Baumbach,Noah Baumbach,Greta Gerwig,United States,0,9058065,Pine District Pictures,86
Madagascar 3: Europe's Most Wanted,PG,Animation,2012,"June 8, 2012 (United States)",6.8,168000,Eric Darnell,Eric Darnell,Ben Stiller,United States,145000000,746921274,DreamWorks Animation,93
The Five-Year Engagement,R,Comedy,2012,"April 27, 2012 (United States)",6.2,96000,Nicholas Stoller,Jason Segel,Jason Segel,United States,30000000,54169363,Universal Pictures,124
House at the End of the Street,PG-13,Drama,2012,"September 21, 2012 (United States)",5.6,74000,Mark Tonderai,David Loucka,Jennifer Lawrence,United States,10000000,44287131,Relativity Media,101
The Sessions,R,Biography,2012,"November 16, 2012 (United States)",7.2,42000,Ben Lewin,Ben Lewin,John Hawkes,United States,1000000,10656155,Fox Searchlight Pictures,95
The Woman in Black,PG-13,Drama,2012,"February 3, 2012 (United States)",6.4,177000,James Watkins,Susan Hill,Daniel Radcliffe,United Kingdom,17000000,128955898,CBS Films,95
The Three Stooges,PG,Comedy,2012,"April 13, 2012 (United States)",5.1,30000,Bobby Farrelly,Mike Cerrone,Sean Hayes,United States,30000000,54819301,Twentieth Century Fox,92
Think Like a Man,PG-13,Comedy,2012,"April 20, 2012 (United States)",6.5,45000,Tim Story,Keith Merryman,Chris Brown,United States,12000000,96070507,Screen Gems,122
The Vow,PG-13,Drama,2012,"February 10, 2012 (United States)",6.8,187000,Michael Sucsy,Abby Kohn,Rachel McAdams,United States,30000000,196114570,Screen Gems,104
Taken 2,PG-13,Action,2012,"October 5, 2012 (United States)",6.3,294000,Olivier Megaton,Luc Besson,Liam Neeson,France,45000000,376152455,EuropaCorp,92
Compliance,R,Crime,2012,"September 26, 2012 (France)",6.4,33000,Craig Zobel,Craig Zobel,Ann Dowd,United States,270000,592116,Bad Cop Bad Cop Film Productions,90
Rust and Bone,R,Drama,2012,"May 17, 2012 (Belgium)",7.5,65000,Jacques Audiard,Jacques Audiard,Marion Cotillard,France,0,25807712,Why Not Productions,120
The Company You Keep,R,Drama,2012,"April 26, 2013 (United States)",6.4,32000,Robert Redford,Lem Dobbs,Robert Redford,United States,2000000,20014680,Voltage Pictures,125
Hit and Run,R,Action,2012,"August 22, 2012 (United States)",6.1,35000,David Palmer,Dax Shepard,Dax Shepard,United States,2000000,16816647,Exclusive Media Group,100
Act of Valor,R,Action,2012,"February 24, 2012 (United States)",6.5,67000,Mike McCoy,Kurt Johnstad,Alex Veadov,United States,12000000,82499399,Relativity Media,110
Passion,R,Adventure,2012,"August 30, 2013 (United States)",5.3,22000,Brian De Palma,Brian De Palma,Rachel McAdams,France,20000000,713616,SBS Productions,102
On the Road,R,Adventure,2012,"May 23, 2012 (France)",6.1,40000,Walter Salles,Jack Kerouac,Sam Riley,France,25000000,9617377,MK2 Productions,124
Bullet to the Head,R,Action,2012,"February 1, 2013 (United States)",5.7,48000,Walter Hill,Alessandro Camon,Sylvester Stallone,United States,45000000,21947209,IM Global,92
LOL,PG-13,Comedy,2012,"March 1, 2012 (Singapore)",4.4,54000,Lisa Azuelos,Lisa Azuelos,Miley Cyrus,United States,11000000,10578643,Double Feature Films,97
Gone,PG-13,Action,2012,"February 24, 2012 (United States)",5.9,43000,Heitor Dhalia,Allison Burnett,Amanda Seyfried,United States,0,19767535,Summit Entertainment,94
The First Time,PG-13,Comedy,2012,"February 7, 2013 (Russia)",6.8,68000,Jonathan Kasdan,Jonathan Kasdan,Dylan O'Brien,United States,2000000,92654,Samuel Goldwyn Films,95
Ice Age: Continental Drift,PG,Animation,2012,"July 13, 2012 (United States)",6.5,197000,Steve Martino,Michael Berg,Ray Romano,United States,95000000,877244782,Blue Sky Studios,88
V/H/S,R,Horror,2012,"September 6, 2012 (Russia)",5.8,58000,Directors,Brad Miska,Calvin Reeder,United States,0,1944287,8383 Productions,116
No One Lives,R,Horror,2012,"May 10, 2013 (United States)",6,20000,RyÃ»hei Kitamura,David Cohen,Luke Evans,United States,2900000,1048704,Milk & Media,86
Mirror Mirror,PG,Adventure,2012,"March 30, 2012 (United States)",5.6,85000,Tarsem Singh,Marc Klein,Lily Collins,United States,85000000,183018522,Relativity Media,106
About Cherry,R,Drama,2012,"August 9, 2012 (United States)",4.8,10000,Stephen Elliott,Stephen Elliott,Ashley Hinshaw,United States,2500000,8315,Enderby Entertainment,98
Hitchcock,PG-13,Biography,2012,"December 14, 2012 (United States)",6.8,73000,Sacha Gervasi,John J. McLaughlin,Anthony Hopkins,United States,15700000,27039669,Fox Searchlight Pictures,98
The Lords of Salem,R,Horror,2012,"April 18, 2013 (Russia)",5.2,28000,Rob Zombie,Rob Zombie,Sheri Moon Zombie,United States,1500000,1544989,Alliance,101
Step Up Revolution,PG-13,Drama,2012,"July 27, 2012 (United States)",6.4,55000,Scott Speer,Amanda Brody,Kathryn McCormick,United States,33000000,140470746,Summit Entertainment,99
Ruby Sparks,R,Comedy,2012,"September 6, 2012 (Portugal)",7.2,97000,Jonathan Dayton,Zoe Kazan,Paul Dano,United States,8000000,9368803,Fox Searchlight Pictures,104
Stuck in Love.,R,Comedy,2012,"May 2, 2013 (Israel)",7.2,85000,Josh Boone,Josh Boone,Greg Kinnear,United States,0,977671,Informant Media,97
The Paperboy,R,Crime,2012,"October 17, 2012 (Belgium)",5.8,37000,Lee Daniels,Peter Dexter,Matthew McConaughey,United States,12500000,3783865,Millennium Films,107
The Possession,PG-13,Horror,2012,"August 31, 2012 (United States)",5.9,58000,Ole Bornedal,Juliet Snowden,Natasha Calis,United States,14000000,85446075,Ghost House Pictures,92
Silent Hill: Revelation,R,Action,2012,"October 26, 2012 (United States)",5,61000,M.J. Bassett,M.J. Bassett,Adelaide Clemens,Canada,20000000,55362705,Davis-Films,95
Safe,R,Action,2012,"April 27, 2012 (United States)",6.5,106000,Boaz Yakin,Boaz Yakin,Jason Statham,United States,30000000,41564670,IM Global,94
The Brass Teapot,R,Comedy,2012,"April 15, 2013 (United States)",6.4,15000,Ramaa Mosley,Tim Macy,Juno Temple,United States,900000,245027,Atlantic Pictures (II),101
Alex Cross,PG-13,Action,2012,"October 19, 2012 (United States)",5.2,33000,Rob Cohen,Marc Moss,Tyler Perry,United States,35000000,34618867,Block / Hanson,101
Amour,PG-13,Drama,2012,"September 20, 2012 (Germany)",7.9,95000,Michael Haneke,Michael Haneke,Jean-Louis Trintignant,Austria,8900000,29664140,Les Films du Losange,127
What to Expect When You're Expecting,PG-13,Comedy,2012,"May 18, 2012 (United States)",5.7,71000,Kirk Jones,Shauna Cross,Cameron Diaz,United States,40000000,84384002,Lionsgate,110
Trouble with the Curve,PG-13,Drama,2012,"September 21, 2012 (United States)",6.8,61000,Robert Lorenz,Randy Brown,Clint Eastwood,United States,30000000,48963137,Warner Bros.,111
Here Comes the Boom,PG,Action,2012,"October 12, 2012 (United States)",6.4,87000,Frank Coraci,Allan Loeb,Kevin James,United States,42000000,73100172,Columbia Pictures,105
The Collection,R,Horror,2012,"November 30, 2012 (United States)",6.1,47000,Marcus Dunstan,Patrick Melton,Josh Stewart,United States,7500000,9929706,LD Entertainment,82
John Dies at the End,R,Comedy,2012,"December 27, 2012 (United States)",6.4,37000,Don Coscarelli,Don Coscarelli,Chase Williamson,United States,0,141951,M3 Alliance,99
To Rome with Love,R,Comedy,2012,"July 6, 2012 (United States)",6.3,86000,Woody Allen,Woody Allen,Woody Allen,United States,0,73244881,Medusa Film,112
The Giant Mechanical Man,PG-13,Comedy,2012,"April 27, 2012 (United States)",6.7,9800,Lee Kirk,Lee Kirk,Jenna Fischer,United States,0,7396,Votiv Films,94
ParaNorman,PG,Animation,2012,"August 17, 2012 (United States)",7,96000,Chris Butler,Chris Butler,Kodi Smit-McPhee,United States,60000000,107139399,Focus Features,92
Contraband,R,Action,2012,"January 13, 2012 (United States)",6.4,119000,Baltasar KormÃ¡kur,Aaron Guzikowski,Mark Wahlberg,United States,25000000,96262212,Universal Pictures,109
